AN0,PROVINCIAS Y SEXO,   Total,Menores de 5,    5-9,   10-14,   15-19,   20-24,   25-29,   30-34,   35-39,     40 - 44,     45 - 49,     50 - 54,     55 - 59,     60 - 64,    65 y más
2006,    Hombres,342766.0,17771.0,22457.0,21979.0,25282.0,23215.0,20857.0,29881.0,32162.0,34038.0,22024.0,19675.0,19442.0,16361.0,37622.0
2006,    Mujeres,339315.0,16816.0,21327.0,21340.0,24197.0,21970.0,19724.0,28700.0,31662.0,34074.0,22130.0,19861.0,19491.0,16944.0,41079.0
2007,    Hombres,343834.0,17122.0,21797.0,21910.0,25404.0,23778.0,20102.0,27353.0,32770.0,34242.0,24185.0,19441.0,19518.0,16828.0,39384.0
2007,    Mujeres,340485.0,16182.0,20627.0,21213.0,24275.0,22494.0,19055.0,26182.0,32033.0,34346.0,24450.0,19524.0,19756.0,17213.0,43135.0
2008,    Hombres,345422.0,16920.0,20711.0,22332.0,24805.0,24499.0,20697.0,25119.0,33260.0,33687.0,27029.0,19067.0,19560.0,17205.0,40531.0
2008,    Mujeres,342178.0,16025.0,19635.0,21733.0,23573.0,23304.0,19546.0,23821.0,32529.0,33647.0,26962.0,19425.0,19787.0,17623.0,44568.0
2009,    Hombres,346733.0,17399.0,19616.0,22881.0,23512.0,25392.0,21353.0,23658.0,32798.0,32113.0,30244.0,19285.0,19416.0,17533.0,41533.0
2009,    Mujeres,343490.0,16334.0,18584.0,21789.0,22888.0,24117.0,20194.0,22340.0,31759.0,32240.0,30148.0,19567.0,19705.0,17978.0,45847.0
2010,    Hombres,347828.0,17662.0,18715.0,23043.0,22466.0,25667.0,22643.0,22470.0,31657.0,31767.0,32086.0,20246.0,19000.0,17990.0,42416.0
2010,    Mujeres,344708.0,16391.0,17813.0,21756.0,22107.0,24433.0,21413.0,21086.0,30400.0,31655.0,32205.0,20516.0,19450.0,18329.0,47154.0
2011,    Hombres,349953.0,18445.0,18081.0,22512.0,22087.0,25982.0,23894.0,21135.0,29948.0,32046.0,33590.0,21611.0,18944.0,18217.0,43461.0
2011,    Mujeres,346575.0,17184.0,17144.0,21419.0,21604.0,24869.0,22404.0,19750.0,28584.0,31541.0,33809.0,21830.0,19329.0,18639.0,48469.0
2012,    Hombres,349954.00000000006,18443.71791021093,18079.6714115703,22509.129890121527,22084.57231878502,25970.745551450214,23888.931111232505,21134.652094665777,29953.378761331187,32051.450672778697,33591.77710399068,21609.300177210822,18943.74036410192,18219.846158659933,43461.124190962786
2012,    Mujeres,347360.00000000006,17224.946888065388,17185.373654542374,21462.96916683825,21648.37302609238,24915.381498907365,22456.643870464464,19786.958713051477,28635.46144370256,31615.316309284874,33900.63001945501,21882.931491032814,19369.875588501774,18679.195157438477,48572.614610635996
2013,    Hombres,350142.0,19054.0,17034.0,21172.0,23271.0,26201.0,24952.0,20547.0,24381.0,32514.0,31937.0,26419.0,18741.0,18454.0,45465.0
2013,    Mujeres,349073.0,17775.0,16159.0,20143.0,22148.0,24452.0,23413.0,19471.0,23977.0,32457.0,32826.0,26900.0,19496.0,19288.0,50568.0
2014,    Hombres,351648.0,19049.0,17417.0,20246.0,23570.0,25046.0,26129.0,21240.0,23033.0,31824.0,31095.0,28916.0,19021.0,18509.0,46553.0
2014,    Mujeres,350829.0,18006.0,16427.0,19097.0,22593.0,23376.0,24350.0,20217.0,22461.0,31685.0,31969.0,29525.0,19697.0,19416.0,52010.0
2015,    Hombres,353192.0,19231.0,17892.0,19165.0,23638.0,24160.0,26824.0,22402.0,21980.0,30468.0,30973.0,30514.0,20037.0,18122.0,47786.0
2015,    Mujeres,352583.0,18240.0,16609.0,18207.0,22558.0,22723.0,24917.0,21250.0,21202.0,30490.0,31389.0,31599.0,20580.0,19376.0,53443.0
2016,    Hombres,355137.0,19391.0,18523.0,18424.0,23070.0,23699.0,27252.0,23793.0,20675.0,28942.0,31417.0,31725.0,21157.0,18320.0,48749.0
2016,    Mujeres,354570.0,18268.0,17323.0,17441.0,22167.0,22346.0,25306.0,22411.0,19842.0,28612.0,31665.0,33094.0,21884.0,19372.0,54839.0
2017,    Hombres,356176.0,19374.0,19210.0,17687.0,22536.0,23516.0,27635.0,24394.0,20136.0,26669.0,32029.0,32086.0,23187.0,17972.0,49745.0
2017,    Mujeres,356242.0,18239.0,17925.0,16877.0,21602.0,22251.0,25598.0,22914.0,19307.0,26430.0,32167.0,33476.0,24090.0,19018.0,56348.0
2018,    Hombres,357085.0,19892.0,19684.0,17371.0,21452.0,23688.0,26820.0,25244.0,20577.0,24397.0,32418.0,31457.0,25667.0,17671.0,50747.0
2018,    Mujeres,357758.0,18665.0,18333.0,16549.0,20641.0,22606.0,24894.0,23628.0,19616.0,24164.0,32589.0,32770.0,26601.0,18892.0,57810.0
2019,    Hombres,357929.0,19810.0,19753.0,17698.0,20540.0,23807.0,25535.0,26438.0,21168.0,23123.0,31713.0,30751.0,28076.0,18014.0,51503.0
2019,    Mujeres,358831.0,18378.0,18653.0,16736.0,19596.0,22966.0,23736.0,24440.0,20363.0,22683.0,31862.0,31967.0,29235.0,19133.0,59083.0
2020,    Hombres,357324.0,19035.0,20071.0,18123.0,19451.0,23737.0,24412.0,26889.0,22266.0,22015.0,30253.0,30535.0,29614.0,18878.0,52045.0
2020,    Mujeres,358996.0,17753.0,18972.0,16882.0,18649.0,22849.0,22943.0,24912.0,21307.0,21330.0,30543.0,31338.0,31232.0,20029.0,60257.0
2021,    Hombres,354194.0,17703.0,20337.0,18689.0,18626.0,23095.0,23747.0,27112.0,23546.0,20540.0,28515.0,30765.0,30467.0,19775.0,51277.0
2021,    Mujeres,356874.0,16559.0,19049.0,17519.0,17797.0,22326.0,22368.0,25241.0,22320.0,19830.0,28606.0,31417.0,32505.0,21148.0,60189.0
2022,    Hombres,353472.0,16280.0,20627.0,19365.0,17870.0,22547.0,23494.0,27469.0,24169.0,20008.0,26356.0,31311.0,30828.0,21682.0,51466.0
2022,    Mujeres,356655.0,15171.0,19239.0,18093.0,17165.0,21812.0,22218.0,25513.0,22822.0,19300.0,26356.0,31878.0,32886.0,23262.0,60940.0
